"Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"11 Rondônia";8506;5440;2;13948
"12 Acre";3296;2317;11;5624
"13 Amazonas";16818;11821;9;28648
"14 Roraima";2627;1635;2;4264
"15 Pará";30846;20944;53;51843
"16 Amapá";2887;1861;1;4749
"17 Tocantins";7060;4467;7;11534
"21 Maranhão";25868;17973;19;43860
"22 Piauí";15343;11554;30;26927
"23 Ceará";41075;32659;16;73750
"24 Rio Grande do Norte";14774;11987;8;26769
"25 Paraíba";18752;15750;12;34514
"26 Pernambuco";43784;37351;36;81171
"27 Alagoas";13757;11156;6;24919
"28 Sergipe";9588;7314;12;16914
"29 Bahia";65511;49081;37;114629
"31 Minas Gerais";104057;85263;33;189353
"32 Espírito Santo";18489;14615;22;33126
"33 Rio de Janeiro";97751;91050;125;188926
"35 São Paulo";236355;196755;111;433221
"41 Paraná";64163;48679;45;112887
"42 Santa Catarina";33432;26447;4;59883
"43 Rio Grande do Sul";62816;54678;50;117544
"50 Mato Grosso do Sul";14244;10512;2;24758
"51 Mato Grosso";17460;11148;12;28620
"52 Goiás";34277;24680;11;58968
"53 Distrito Federal";11814;9479;7;21300
"Total";1015350;816616;683;1832649
